All Four,Linear - Polynomial - Lasso,Linear - Polynomial - Elastic Net,Polynomial - Lasso - Elastic Net,Linear - Lasso - Elastic Net,Linear - Polynomial,Linear - Lasso,Linear - Elastic,Polynomial - Lasso,Polynomial - Elastic Net,Lasso - Elastic Net,Linear,Polynomial,Lasso,Elastic Net
925.0,925.0,814.0,925.0,925.0,,925.0,814.0,925.0,814.0,925.0,,,925.0,925.0
928.0,928.0,842.0,928.0,928.0,,928.0,842.0,928.0,842.0,928.0,,,928.0,928.0
935.0,935.0,860.0,935.0,935.0,,935.0,860.0,935.0,860.0,935.0,,,935.0,935.0
864.0,,864.0,864.0,864.0,,,864.0,,864.0,864.0,,,,
865.0,,865.0,865.0,865.0,,,865.0,,865.0,865.0,,,,
877.0,,877.0,877.0,877.0,,,877.0,,877.0,877.0,,,,
904.0,,904.0,904.0,904.0,,,904.0,,904.0,904.0,,,,
925.0,,925.0,925.0,925.0,,,925.0,,925.0,925.0,,,,
928.0,,928.0,928.0,928.0,,,928.0,,928.0,928.0,,,,
935.0,,935.0,935.0,935.0,,,935.0,,935.0,935.0,,,,
