designation,num,id,_r,Source,RA_ICRS,DE_ICRS,GMAG0,BP-RP0,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP/RPCorr,AG50,ABP50,ARP50,,,source_id,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,azero_gspphot,bp_g,bp_rp,distance_gspphot,ebpminrp_gspphot,g_rp,grvs_mag,grvs_mag_error,libname_gspphot,logg_gspphot,mh_gspphot,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,Separation
Gaia DR3 3326737494020166400,0,382,0.241757,3.32674E+018,100.4842842,9.844768317,3.98794,0.800451,1.065169,5561.01,5796.84,6036.98,4.073991,4.196251,4.517985,-0.401238,0.048845,0.142022,1.17448,1.366557,2.037647,2.368491,3.17966,2.230182,2.358359,2.486623,2.723607,2.791102,0.990723,-10.072792,-0.798412,0.084813,10.104385,GBPRPgrizy/JHKsW1W2,0,-0.001633167,1.997191,2.529663,1.48327,,,3.32674E+018,100.4842842,9.844768317,203.0896242,2.385516178,100.6121006,-13.20912085,0.506368348,0.369939966,-3.294852283,17.530775,18.439728,16.592884,0.093731314,0.098331235,0.123177454,0.12272015,0.09619259,0.9927384,1.4023,1.8655,0.9089527,1.8468437,650.7148,0.7692,0.937891,,,MARCS,4.7862,-1.4171,574.8115224,11.302179,1830.783723,2.146061,1828.118068,9.708569,,,2016,4858.204,,,0.000000158
Gaia DR3 3326737498316606336,0,383,0.236186,3.32674E+018,100.4795682,9.849796606,2.898938,0.564921,1.539882,6387.8,6621.16,7163.16,3.997549,4.027193,4.280826,-0.347194,-0.115627,0.206728,2.018929,2.276812,2.666604,3.101275,4.180585,1.720174,2.074678,2.219418,2.485899,2.948437,0.988281,-10.650987,-1.044576,0.110907,10.702086,GBPRPgrizy/JHKsW1W2,0,0.004452348,1.833108,2.29023,1.334276,,,3.32674E+018,100.4795682,9.849796606,203.0830246,2.383673621,100.6069572,-13.20445185,0.314744899,-0.050228821,0.214444568,16.86184,17.56183,16.040955,0.06908833,0.06328973,0.072955586,0.083622396,0.06818583,1.0861523,2.5487,3.0481,0.6999912,1.5208759,1901.354,1.3923,0.8208847,,,A,4.4869,-1.1407,1290.282457,17.020823,3390.085843,3.1006787,3039.321286,13.323919,,,2016,8573.961,,,0.0000000321
Gaia DR3 3326737528379936000,0,384,0.24518,3.32674E+018,100.4915069,9.866483214,3.528101,0.668926,1.415901,6251.68,6323.55,7162.27,3.970807,4.230211,4.247036,-0.363791,-0.085331,-0.051956,2.860797,3.291012,3.433815,4.674155,4.952344,1.68492,1.817646,1.842657,2.341074,2.4224,0.919922,-11.356344,-1.344572,0.143898,11.435665,GBPRPgrizy/JHKsW1W2,0,0.015210152,1.528631,1.904877,1.110045,,,3.32674E+018,100.4915069,9.866483214,203.0735285,2.401750591,100.6177308,-13.18693686,0.108569934,-0.331311662,-1.36175818,17.735617,18.392467,16.928709,0.116479315,0.11695002,0.14165689,0.13759568,0.11844223,1.1432501,0.6401,0.8302,0.6568508,1.4637585,825.9918,0.3526,0.80690765,,,MARCS,4.8761,-3.5607,600.3849805,16.586147,1516.004271,2.3047075,1341.759851,11.984084,,,2016,4771.128,,,0.0000000658
Gaia DR3 3326737562739656320,0,385,0.222509,3.32674E+018,100.4662335,9.853875339,5.026163,0.737897,1.000905,5058.72,5588.52,6203.45,4.258217,4.479987,4.663513,-0.980189,-0.668332,-0.389838,1.018013,1.139852,1.747435,2.552904,5.432682,2.160045,2.18791,2.681213,3.008055,3.228039,0.983398,-9.806267,-0.684249,0.072378,9.830111,GBPRPgrizy/JHKsW1W2,0,0.038833022,2.130124,2.712933,1.594064,,,3.32674E+018,100.4662335,9.853875339,203.0733955,2.373840823,100.5931886,-13.20136012,0.570516559,1.617360008,-3.033230416,18.368292,19.250774,17.394009,0.15963805,0.14993712,0.16107899,0.19172631,0.16558373,1.0013429,1.2515,1.7144,0.8824825,1.8567657,675.9789,0.6835,0.9742832,,,PHOENIX,4.9081,-1.6511,272.337327,11.278677,846.5064054,1.6877117,874.0865964,9.219457,,,2016,4465.3804,,,0.000000144
Gaia DR3 3326737562739669888,0,386,0.230453,3.32674E+018,100.4759836,9.863147978,4.521516,0.79371,1.086493,5387.34,5876.74,5989.2,4.325955,4.459249,4.529805,-0.275148,0.049797,0.083017,1.421721,1.445094,1.75456,1.871637,2.044837,1.627484,1.655754,2.08959,2.193616,2.31683,0.982422,-9.812847,-0.686924,0.073064,9.836861,GBPRPgrizy/JHKsW1W2,0,-0.001147628,1.701707,2.14003,1.252145,,,3.32674E+018,100.4759836,9.863147978,203.0695199,2.38661834,100.6023207,-13.1913998,0.597135164,-2.851554815,-2.164577577,17.444063,18.247204,16.565609,0.08560177,0.08454432,0.10179602,0.10096512,0.08414271,1.0451332,1.0103,1.3341,0.80314064,1.6815948,687.2407,0.5498,0.8784542,,,PHOENIX,4.8096,-1.428,686.334179,7.376128,1982.992795,2.2137256,1874.62612,10.0910425,,,2016,4755.1143,,,0.000000188
Gaia DR3 3326737567036082048,0,387,0.225258,3.32674E+018,100.4707218,9.863599942,3.272301,0.655087,1.715049,5963.18,6363.3,7198.57,3.932963,4.138022,4.26397,-0.466396,0.12938,0.289381,2.466486,3.037541,3.313593,5.085522,7.07121,1.799206,1.827865,2.129338,2.642749,3.154014,0.998047,-11.246034,-1.297155,0.137731,11.320596,GBPRPgrizy/JH,0,0.001576781,1.752738,2.19309,1.279293,,,3.32674E+018,100.4707218,9.863599942,203.0667514,2.382210707,100.5969764,-13.19133408,0.187156251,-0.179945804,-1.031365459,17.626535,18.357935,16.789051,0.09457757,0.09309779,0.11231985,0.11203984,0.09357877,0.99620926,1.0245,1.3238,0.73139954,1.5688839,903.799,0.5618,0.83748436,,,MARCS,4.7764,-1.5863,619.7878049,8.784286,1676.225416,2.1629663,1525.942296,10.49786,,,2016,5032.5264,,,0.0000000969
Gaia DR3 3326737567036082432,0,388,0.224032,3.32674E+018,100.4694373,9.863414951,3.645863,0.727754,1.400567,5815.53,6090.77,6626.95,4.069426,4.216329,4.405044,-0.31343,0.016309,0.229716,1.835914,2.326028,3.094902,3.945472,4.428722,2.609089,2.696175,2.895917,3.278929,3.411487,0.976074,-11.045011,-1.211526,0.128576,11.111258,GBPRPgrizy/JHKs,0,-0.007884026,2.314424,2.940032,1.723393,,,3.32674E+018,100.4694373,9.863414951,203.0663387,2.381000139,100.5956944,-13.19161251,0.146975009,0.833590542,-2.016246126,18.41352,19.391787,17.447393,0.16784777,0.15611759,0.16273732,0.19596054,0.17095785,1.0218225,0.3972,0.5637,0.97826576,1.9443932,660.6487,0.2165,0.9661274,,,PHOENIX,4.8497,-0.7063,239.1674271,9.338577,811.9666349,1.5122414,832.1479864,8.087828,,,2016,3797.4314,,,0.0000000606
Gaia DR3 3326737567036082944,0,389,0.228193,3.32674E+018,100.4725474,9.856275948,4.088153,0.758957,1.124003,5837.91,5986.25,6147.18,4.145828,4.312792,4.399139,-0.193474,-0.153026,0.197029,1.252057,1.303237,1.425072,1.737534,1.790592,2.152183,2.170133,2.315861,2.409322,2.639651,0.999512,-9.509933,-0.558034,0.059191,9.526292,GBPRPgrizy/JHKsW1W2,0,0.001559377,1.878274,2.367405,1.385469,,,3.32674E+018,100.4725474,9.856275948,203.0740962,2.380471836,100.5993774,-13.19850429,0.646744498,-5.31712895,1.02439395,16.735611,17.573832,15.832939,0.06279564,0.06225524,0.0752326,0.07497387,0.062054615,1.0730748,1.8003,2.3084,0.8382206,1.7408924,762.9203,0.9998,0.9026718,,,MARCS,4.5954,-1.5074,1276.09804,9.891823,3808.048845,2.772214,3681.14285,11.536408,,,2016,5808.4565,,,0.0000000813
Gaia DR3 3326737567036083456,0,390,0.225752,3.32674E+018,100.4700035,9.856120971,6.105931,1.206362,0.846612,4632.83,4897.45,5128.74,4.577749,4.595082,4.635,-0.240286,0.066334,0.077643,0.954068,0.963848,1.138226,1.209429,1.210471,1.669008,1.687933,1.97366,2.289846,2.511913,0.991211,-9.246272,-0.445692,0.047231,9.257008,GBPRPgrizy/JHKsW1W2,0,-0.001880169,1.572695,1.998363,1.176673,,,3.32674E+018,100.4700035,9.856120971,203.0730904,2.378170519,100.5968219,-13.19884495,0.762834305,-5.76194955,-3.46187875,17.959768,18.989252,16.9612,0.12446022,0.11741635,0.12498563,0.15001595,0.1301943,0.97251433,1.0878,1.5151,1.0294838,2.0280514,563.9697,0.5888,0.9985676,,,PHOENIX,4.8301,-1.0992,346.5102141,14.580402,1233.217312,1.6902683,1302.200326,10.423631,,,2016,4214.1465,,,0.000000177
Gaia DR3 3326737601395818368,0,391,0.237325,3.32674E+018,100.48418,9.872739727,0.166101,1.000719,1.974676,4890.2,5098.26,5289.77,2.419408,2.509705,2.774199,-0.593214,-0.307781,-0.187957,2.948027,2.988307,3.375046,3.611339,3.875517,2.083744,2.226687,2.495277,2.633421,2.743364,1,-11.302536,-1.321083,0.141225,11.379481,GBPRPgy/JHKsW1W2,0,0.001639247,1.968556,2.515114,1.481653,,,3.32674E+018,100.48418,9.872739727,203.0646611,2.398178714,100.6098595,-13.18123448,0.218568378,-0.320273438,-0.853753695,14.776055,15.80684,13.772659,0.023414189,0.022482855,0.025907436,0.027901832,0.023403645,0.9711015,2.4413,3.2034,1.0307846,2.0341806,2880.345,1.3353,1.003396,13.242724,0.04840712,PHOENIX,3.0504,-0.1632,6496.519701,17.72814,23148.59217,9.458503,24552.43887,39.166153,39.64107,6.283363,2016,6093.851,,,0.000000185
Gaia DR3 3326737665818107008,0,392,0.203507,3.32674E+018,100.4489565,9.867293727,0.083238,0.184533,2.917348,7306.41,8208.53,10836.15,3.528552,3.577608,3.827696,-0.18862,-0.106855,-0.038175,1.369187,1.398401,1.49202,1.506342,1.516431,2.037849,2.081835,2.49141,3.015564,3.018158,1,-9.571695,-0.583768,0.061564,9.58948,GBPRPJHKsW1W2,10,0.008394003,2.114086,2.609009,1.507497,,,3.32674E+018,100.4489565,9.867293727,203.0536743,2.364811163,100.5747313,-13.18924097,0.655994435,-2.089554413,-3.246680622,13.066196,13.626561,12.340516,0.013738832,0.013480509,0.014792669,0.016870026,0.014804735,1.1072861,,,0.5603647,1.2860451,,,0.72568035,,,,,,48394.10509,59.968193,111806.7612,30.019325,91823.06345,62.557518,,,2016,,,,0.0000000759
Gaia DR3 3326737670115299456,0,393,0.20688,3.32674E+018,100.4516819,9.862524189,2.906876,0.536378,1.486539,6345.78,6754.97,7526.23,3.997918,4.127312,4.266297,-0.426657,-0.229523,-0.023046,2.129681,2.342735,2.701221,2.874942,4.167364,1.896562,2.072975,2.328238,2.811831,2.842845,1,-10.683279,-1.057116,0.111468,10.735453,GBPRPgrizy/JHKsW1W2,0,0.011929274,1.922634,2.40265,1.399269,,,3.32674E+018,100.4516819,9.862524189,203.0591482,2.365025639,100.5778446,-13.19379841,0.272900945,1.028888892,-1.070159253,16.98731,17.692326,16.152567,0.061551213,0.060204376,0.07061651,0.07283831,0.06349028,0.9805818,2.2026,2.6851,0.7050152,1.5397587,1797.4539,1.2112,0.8347435,,,MARCS,4.384,-1.9307,1144.159617,17.31552,3020.106219,2.3585045,2742.402271,11.337715,,,2016,7511.1255,,,0.000000123
Gaia DR3 3326737704475039488,0,394,0.183781,3.32674E+018,100.4283752,9.8652482,2.3989,0.22313,2.082869,7606.57,8186.43,10080.85,4.107,4.335683,4.393724,-0.416836,-0.200982,0.204218,2.398898,2.465219,2.826485,3.93359,4.524949,2.242805,2.423828,2.671817,3.10218,3.300548,0.999512,-10.798721,-1.105568,0.115691,10.855167,GBPRPgrizy/JHKsW1W2,10,0.014487982,2.253381,2.789592,1.613501,,,3.32674E+018,100.4283752,9.8652482,203.0462408,2.345832885,100.5541175,-13.19278186,0.298584986,-0.57418661,0.098534423,16.908514,17.52819,16.12897,0.06260212,0.058618713,0.0713248,0.07697945,0.063250795,1.0004622,2.4754,2.9188,0.6196766,1.3992214,2498.323,1.3483,0.77954483,,,A,4.3937,-0.9341,1330.885845,9.101244,3247.438891,2.630291,2802.661717,13.949609,,,2016,8934.58,,,0.000000129
Gaia DR3 3326737704475040256,0,395,0.181331,3.32674E+018,100.4253358,9.86240946,4.054912,0.758422,1.294403,5701.59,6033.75,6405.35,4.179745,4.343906,4.436609,-0.114971,0.052433,0.066678,1.511613,1.716189,2.008629,2.606249,2.626188,2.643037,2.662906,2.899612,3.200337,3.25833,0.931152,-10.046759,-0.785707,0.082077,10.077435,GBPRPgrizy/JHKsW1W2,0,0.00424242,2.31396,2.941544,1.724914,,,3.32674E+018,100.4253358,9.86240946,203.0474023,2.34187329,100.5512659,-13.19583424,0.552959841,0.354108646,-3.436198117,17.88337,18.872177,16.897125,0.106441624,0.09855569,0.12136643,0.12774539,0.107590556,0.9801365,1.7317,2.3278,0.9888077,1.9750519,664.7675,0.9568,0.9862442,,,MARCS,4.7993,-1.7386,385.9635776,7.679027,1323.119743,1.7678413,1381.364902,9.233154,,,2016,4931.2734,,,0.0000000915
Gaia DR3 3326737803257853568,0,396,0.226522,3.32674E+018,100.4732173,9.873298286,4.685663,0.686869,0.954511,5683.35,6026.98,6121.66,4.410533,4.478072,4.525308,-0.543027,-0.456778,-0.336926,1.189251,1.242255,1.428941,1.658941,1.79089,1.837306,2.010106,2.238869,2.310616,2.428908,0.236572,-9.513626,-0.559205,0.059559,9.530046,GBPRPgrizy/JHKsW1W2,0,0.051090717,1.821853,2.292423,1.340805,,,3.32674E+018,100.4732173,9.873298286,203.0592346,2.388821146,100.598755,-13.18147995,0.582210661,-5.231667384,-5.117444073,17.282587,18.015705,16.377218,0.09276589,0.0922749,0.11179496,0.110815935,0.091870256,1.1725274,1.1822,1.5417,0.73311806,1.6384869,711.3802,0.6504,0.9053688,,,MARCS,4.7479,-2.0109,849.4435367,12.350796,2300.976147,3.1393514,2229.826604,10.91778,,,2016,5008.4155,,,0.000000203
Gaia DR3 3326737803257863936,0,397,0.221713,3.32674E+018,100.4689235,9.880295926,3.782883,0.68514,1.302992,5804.36,6238.25,6716.1,3.91911,4.326157,4.448873,-0.389922,-0.112206,0.180105,2.137862,2.429647,3.177915,4.55915,4.660333,2.066901,2.27855,2.533501,2.878305,2.982047,0.993652,-11.121638,-1.243237,0.132426,11.19091,GBPRPgrizy/JHW1W2,0,0.005297542,2.053947,2.590076,1.514673,,,3.32674E+018,100.4689235,9.880295926,203.0510708,2.388247171,100.5938888,-13.1748157,0.167536259,0.952419405,-0.017708848,18.347542,19.195154,17.434612,0.16027354,0.1518846,0.15746407,0.18653332,0.16571002,0.9756473,1.2302,1.6421,0.8476124,1.7605419,823.9846,0.6768,0.91292953,,,PHOENIX,4.8937,-2.3217,286.6523489,7.684428,862.8392854,1.4783058,842.0027905,7.3495054,,,2016,4803.828,,,0.000000108
Gaia DR3 3326737803257871232,0,398,0.224389,3.32674E+018,100.4718604,9.883704155,3.378097,0.634812,1.219919,5318.26,6021.34,6746.72,3.425375,4.138575,4.392549,-0.657838,-0.411403,-0.077834,2.39877,2.836406,4.22069,8.024363,8.41484,0.86424,1.207783,1.741105,2.125844,2.208652,0.978516,-12.080358,-1.651061,0.176183,12.192663,GBPRPgrizy/JHKsW1W2,0,0.046014547,1.438142,1.795571,1.048009,,,3.32674E+018,100.4718604,9.883704155,203.0493553,2.392376255,100.5965922,-13.17120208,0.054492409,-1.244069749,-0.329605466,17.943155,18.52648,17.144106,0.11317064,0.1088438,0.12506633,0.13616611,0.12550135,1.052685,0.5661,0.7307,0.58332443,1.3823738,917.8645,0.3101,0.7990494,,,MARCS,4.8962,-2.5366,530.6709059,18.055517,1252.231395,1.8389957,1100.312715,13.772406,,,2016,4783.575,,,0.000000162
Gaia DR3 3326737807554248960,0,399,0.225624,3.32674E+018,100.4729062,9.880335847,1.895467,1.104202,1.383527,4914.81,4933.3,5176.37,3.016085,3.041691,3.565355,-0.305169,-0.29645,0.002606,3.248226,3.383194,5.101408,5.492866,8.569781,2.422725,2.454069,2.469621,2.730237,2.794155,0.998047,-12.889942,-1.995867,0.212892,13.043546,GBPRPgrizy/JHKsW1W2,0,-0.001135707,1.94142,2.484651,1.465223,,,3.32674E+018,100.4729062,9.880335846,203.0528259,2.391757356,100.5979043,-13.17448458,0.087050508,0.697110916,-0.202980658,17.375338,18.469587,16.345957,0.08353543,0.083795734,0.10039478,0.103656076,0.08873119,1.0243198,,,1.0942497,2.1236305,,,1.0293808,,,,,,559.2188774,11.137003,2112.573388,2.136114,2294.962668,9.985344,,,2016,,,,0.000000229
Gaia DR3 3326737871977348480,0,400,0.210528,3.32674E+018,100.4578421,9.885031625,3.721011,0.730688,1.264204,5997.23,6091.27,6597.62,4.156595,4.236379,4.379296,-0.451997,-0.054376,0.24097,2.017943,2.288826,2.87285,3.095476,3.847353,2.564181,2.632412,2.738275,3.0283,3.206139,0.981445,-10.84137,-1.123474,0.119335,10.899425,GBPRPgrizy/JHKsW1W2,0,0.009305,2.198684,2.786168,1.632199,,,3.32674E+018,100.4578421,9.885031624,203.0418701,2.380690737,100.5823469,-13.170903,0.314989103,0.995989106,-0.278178969,18.21126,19.135952,17.251295,0.14708556,0.13921203,0.14887561,0.17302729,0.15121642,1.040465,1.4409,1.9349,0.92469215,1.8846569,742.0698,0.7929,0.95996475,,,MARCS,4.854,-1.8896,302.7165728,11.170261,978.2342721,1.6146132,996.8734559,8.18602,,,2016,4769.2085,,,0.0000000877
Gaia DR3 3326737871977352960,0,401,0.212185,3.32674E+018,100.4596517,9.887831906,3.450012,0.752757,1.443975,6005.31,6124.73,6563.87,4.087699,4.17049,4.369718,-0.083298,0.02358,0.362704,1.443651,1.566243,2.037721,2.28207,2.323954,2.254294,2.359553,2.403793,2.737706,2.877776,0.998047,-10.073551,-0.796827,0.084747,10.105017,GBPRPgrizy/JHKsW1W2,0,-0.002031922,1.951036,2.458526,1.438021,,,3.32674E+018,100.4596517,9.887831906,203.0401894,2.383554259,100.5839594,-13.16797823,0.511466312,-1.476658123,-3.075970404,16.946772,17.808601,16.03534,0.06423163,0.06118602,0.072180845,0.07562636,0.065738246,0.98078114,1.7477,2.2574,0.86182976,1.773262,946.2607,0.9734,0.91143227,,,MARCS,4.4899,-2.0398,1027.960833,11.045349,3135.006581,2.484822,3055.076569,11.970845,,,2016,5599.6,,,0.000000143
Gaia DR3 3326737871979687168,0,402,0.210084,3.32674E+018,100.4576715,9.895550823,4.245331,0.650456,1.100341,5904.34,6099.19,6316.7,4.231462,4.39259,4.46627,-0.565449,-0.263567,-0.099596,1.476006,1.755655,2.029105,2.381325,2.958368,1.920568,2.00961,2.17359,2.385344,2.541261,0.98291,-10.065734,-0.793203,0.084451,10.096939,GBPRPgrizy/,0,0.054467082,1.775352,2.229736,1.303165,,,3.32674E+018,100.4576715,9.895550823,203.0324235,2.385338061,100.5813738,-13.16042521,0.529197471,-2.864894418,0.738343868,17.557205,18.24963,16.672604,0.097854905,0.09319172,0.116583355,0.12146704,0.09710956,1.0026877,,,0.6924248,1.5770264,,,0.8846016,,,,,,684.8019606,49.17424,1786.752095,2.2892997,1698.699324,17.837626,,,2016,,,,0.00000021
Gaia DR3 3326737876273726720,0,403,0.205178,3.32674E+018,100.4525755,9.888959805,0.653457,1.127177,1.529673,4745.16,4862.62,5063.91,2.550133,2.616055,2.804799,-0.405039,-0.300943,-0.091113,2.391912,2.993642,4.169424,4.994362,5.031478,2.918218,2.966334,3.104529,3.399253,3.422923,0.996094,-12.033647,-1.63013,0.172988,12.143557,GBPRPgrizy/JHKsW1W2,0,0.003260374,2.392175,3.09395,1.829165,,,3.32674E+018,100.4525755,9.888959805,203.0360031,2.377864596,100.576734,-13.16737025,0.266542862,0.28366974,1.14949662,16.146011,17.426968,15.035006,0.044877045,0.042098723,0.051056,0.054018416,0.044636134,1.0372529,3.3003,4.4008,1.2809563,2.391962,1353.943,1.8197,1.1110058,,,PHOENIX,3.8376,-0.0068,1460.932728,16.947155,6554.544205,3.9073076,7676.37328,19.930407,,,2016,6564.485,,,0.00000011
Gaia DR3 3326737910633462144,0,404,0.257686,3.32674E+018,100.5046752,9.870027065,2.290847,0.697899,1.546341,6025.74,6110.66,6160.18,3.765351,3.803241,3.83904,0.014941,0.060997,0.084588,2.488546,3.39694,3.397269,3.490604,3.525351,1.916918,2.087547,2.105501,2.155378,2.172621,0.999512,-11.322657,-1.330399,0.143146,11.400549,GBPRPgrizy/JHKsW1W2,1001,-0.002807498,1.723766,2.162336,1.263313,,,3.32674E+018,100.5046752,9.870027065,203.0762917,2.414912966,100.6307476,-13.18243711,0.280814928,0.145849899,0.321271571,16.670261,17.422455,15.825533,0.057780534,0.055590864,0.0676698,0.068221614,0.05458762,1.0598819,1.7076,2.1473,0.75219345,1.5969219,1148.3937,0.949,0.84472847,,,A,4.4391,-1.4783,1467.0171,16.952314,4044.290585,2.9870245,3706.338172,14.384392,,,2016,6104.596,,,0.000000214
Gaia DR3 3326737940696812032,0,405,0.262712,3.32674E+018,100.5103509,9.876250236,3.69707,0.702916,1.182261,5811.31,6085.09,6340.27,4.127812,4.251974,4.469401,-0.560616,-0.086597,0.240008,1.650737,1.89249,2.871603,3.205149,3.281916,2.16239,2.19435,2.42759,2.531777,2.692215,0.999023,-10.839525,-1.124399,0.121388,10.897687,GBPRPgrizy/JHKsW1W2,0,-0.012388945,1.967052,2.480774,1.451546,,,3.32674E+018,100.5103509,9.876250236,203.0732995,2.422726824,100.6359984,-13.17581465,0.367294632,-4.348251393,0.999055643,17.954744,18.799124,17.06698,0.111141525,0.10100951,0.123853356,0.13491508,0.110612504,0.990346,0.8878,1.196,0.8443794,1.7321434,675.2275,0.4822,0.887764,,,PHOENIX,4.8848,-1.5806,412.8259903,10.192169,1238.93691,1.9269397,1181.315974,9.866898,,,2016,4458.95,,,0.0000000508
Gaia DR3 3326737975056559488,0,406,0.243801,3.32674E+018,100.491492,9.881876993,3.830334,0.738274,1.291457,5898,6039.03,6438.57,4.129587,4.219565,4.336981,-0.183135,0.210253,0.261592,1.621406,1.720928,1.856659,2.336014,2.35919,1.939362,1.975783,2.126563,2.379892,2.44233,1,-9.906796,-0.726596,0.078032,9.933406,GBPRPgrizy/JHKsW1W2,0,-0.009350061,1.736846,2.181297,1.275109,,,3.32674E+018,100.491492,9.881876993,203.059809,2.408756108,100.6165396,-13.17158683,0.445976129,1.160893722,-3.137791472,16.910841,17.697826,16.053364,0.058209088,0.05653956,0.068790406,0.06784285,0.05975887,0.96256983,1.5287,1.9528,0.7869854,1.6444626,857.9965,0.8436,0.8574772,,,MARCS,4.6293,-1.1869,1138.377058,14.950045,3240.488196,2.6214004,3004.781598,15.615719,,,2016,5631.668,,,0.000000143
Gaia DR3 3326737979352938624,0,407,0.247746,3.32674E+018,100.4954376,9.880782327,2.678933,0.378858,1.938084,6612.72,7209.1,8562.46,3.973459,4.093354,4.327835,-0.716068,-0.612609,0.088898,2.134821,2.971739,3.232222,4.621881,6.608559,1.458971,1.885942,2.223021,2.8166,3.172289,0.995605,-11.171261,-1.265056,0.136012,11.242661,GBPRPgrizy/JHKsW1W2,0,0.02491653,1.861034,2.310357,1.341082,,,3.32674E+018,100.4954376,9.880782327,203.0625579,2.41171653,100.6206043,-13.17238926,0.194270024,-1.000362406,-0.764223178,17.087473,17.668835,16.320702,0.07054171,0.07055102,0.08452238,0.0822854,0.068627656,1.0745746,2.2457,2.647,0.5813618,1.3481331,2463.2856,1.2226,0.7667713,,,A,4.4796,-1.0956,1169.185034,20.73179,2753.957867,2.8009417,2348.972157,19.463602,,,2016,8579.738,,,0.000000132
Gaia DR3 3326738009416305792,0,408,0.260689,3.32674E+018,100.5088966,9.88723996,3.795497,0.67886,1.500967,5957.49,6148.63,6610.17,3.888895,4.153987,4.341931,-0.726767,-0.193209,0.085231,1.80844,2.241042,2.604614,4.509538,5.076496,1.961111,2.080118,2.273122,2.564835,2.858547,0.968262,-10.594294,-1.019419,0.110272,10.643227,GBPRPgrizy/JHKs,0,0.002597213,1.853315,2.329957,1.361869,,,3.32674E+018,100.5088966,9.88723996,203.0628557,2.42646172,100.63369,-13.16496224,0.236903465,-0.483994958,-2.954078313,17.72753,18.505953,16.859005,0.09528481,0.0943308,0.12020385,0.11100408,0.090934984,1.0022917,1.0688,1.4027,0.7784233,1.6469479,785.521,0.5852,0.86852455,,,MARCS,4.8156,-1.6378,540.7989082,10.287455,1527.337346,1.8444369,1430.725497,11.08715,,,2016,4844.842,,,0.000000203
Gaia DR3 3326738009416306176,0,409,0.256426,3.32674E+018,100.5045481,9.886706225,1.682935,0.25877,1.791374,7263.6,7822.69,8509.12,3.896873,3.978406,4.037409,-0.643133,-0.319099,-0.116585,1.373268,1.390356,1.434929,1.47708,1.510773,1.723737,1.79015,2.039126,2.344298,2.445162,1,-9.519078,-0.561584,0.060649,9.535629,GBPRPgy/JHKsW1W2,0,0.005109072,1.74057,2.140683,1.236831,,,3.32674E+018,100.5045481,9.886706225,203.0613764,2.42240555,100.6293435,-13.16581361,0.658246107,1.401872041,-2.786395767,14.207657,14.703027,13.540405,0.017254094,0.016868567,0.020940244,0.020472564,0.016707106,0.8783674,1.7864,2.0806,0.4953699,1.1626215,1490.9231,0.9696,0.6672516,,,PHOENIX,3.9679,-0.2781,17955.86101,27.428364,39073.66761,14.517935,30408.57081,34.467144,,,2016,8085.222,,,0.0000000516
Gaia DR3 3326738013712673792,0,410,0.260473,3.32674E+018,100.5085582,9.884219753,3.935689,0.628848,0.998514,5938.57,6209.3,6340.93,4.180626,4.198996,4.423084,-0.840853,-0.80383,-0.43955,1.363419,1.562039,1.982766,2.134275,2.635739,1.918519,1.957746,2.119901,2.169796,2.381163,0.983887,-10.022626,-0.776116,0.083887,10.052631,GBPRPgrizy/JHKsW1W2,0,0.010299087,1.73898,2.179413,1.272542,,,3.32674E+018,100.5085582,9.884219753,203.0653941,2.424788174,100.6335797,-13.16799888,0.425768422,0.910665721,-3.450134572,17.161026,17.864977,16.329258,0.07022112,0.068948,0.08717301,0.08117284,0.06589941,0.98025715,1.222,1.5584,0.7039509,1.5357189,851.9179,0.6768,0.83176804,,,MARCS,4.7322,-2.1191,975.9465466,13.1295395,2573.571288,2.462239,2330.532689,18.221903,,,2016,5402.953,,,0.000000166
Gaia DR3 3326738013712674560,0,411,0.253801,3.32674E+018,100.5018801,9.886645796,1.834406,-0.042671,2.274078,8013.15,10010.28,10222.75,4.122972,4.383247,4.431489,-0.520141,-0.391876,-0.091119,3.529142,3.754821,4.396542,6.594964,8.319909,1.874438,2.480817,2.95598,2.990904,3.040175,0.978516,-12.241623,-1.720583,0.185644,12.361947,GBPRPgrizy/JHKs,10,-0.005438924,2.561111,3.132817,1.797388,,,3.32674E+018,100.5018801,9.886645796,203.0602309,2.420038653,100.6266562,-13.16606961,0.290737319,-0.117625133,-0.051682668,17.611073,18.187239,16.89448,0.09081101,0.09183806,0.115684986,0.105559,0.087028295,1.1038628,0.7245,0.9084,0.57616615,1.292759,1190.449,0.4014,0.7165928,,,MARCS,4.7771,-3.3119,725.3067424,11.753482,1700.270498,1.8984911,1384.732899,7.219165,,,2016,5294.3667,,,0.00000011
