designation,num,id,_r,Source,RA_ICRS,DE_ICRS,GMAG0,BP-RP0,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP/RPCorr,AG50,ABP50,ARP50,,,source_id,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,ruwe,ag_gspphot,azero_gspphot,bp_g,bp_rp,distance_gspphot,ebpminrp_gspphot,g_rp,grvs_mag,grvs_mag_error,libname_gspphot,logg_gspphot,mh_gspphot,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,Separation
Gaia DR3 3326699152848624256,0,103,0.245024,3.3267E+018,100.30155,9.657289688,6.256071,1.039703,0.718795,5024.16,5038.42,5166.91,4.63564,4.641491,4.655943,-0.542124,-0.531529,-0.429455,0.617356,0.617356,0.619625,0.641483,0.655895,0.485478,0.485478,0.485539,0.486128,0.486319,1,-8.769231,-0.243671,0.023135,8.772615,GBPRPgrizy/JHKs,2001,-0.002600074,0.406215,0.50331,0.294251,,,3.3267E+018,100.30155,9.657289688,203.1743537,2.139723124,100.4417456,-13.40936894,1.540784668,3.378389754,-12.08632266,15.622931,16.172112,14.923349,0.032364063,0.028552031,0.03508605,0.04091818,0.03355069,0.9583636,0.0806,0.1035,0.549181,1.2487621,680.7465,0.0425,0.69958115,,,MARCS,4.5614,-0.1004,4640.582643,11.851569,10611.44739,4.979006,8507.8255,17.134926,,,2016,4684.766,,,0.000000169
Gaia DR3 3326699187208360320,0,104,0.235946,3.3267E+018,100.3144687,9.670135589,3.855908,0.467345,1.034218,7013.66,7061.43,7081.58,4.433483,4.448471,4.466787,-1.211104,-1.133532,-0.971877,0.657095,0.696467,0.696861,0.696946,0.696946,0.509877,0.541772,0.610885,0.651578,0.662345,1,-8.840205,-0.273979,0.026227,8.84445,GBPRPy/JHKsW1W2,2001,-0.002915382,0.53627,0.649668,0.374361,,,3.3267E+018,100.3144687,9.670135589,203.1687339,2.156918128,100.4538362,-13.39562562,1.467314109,-1.948460571,-5.112648698,13.60791,13.8993,13.156648,0.014837657,0.013311539,0.016452033,0.01871825,0.015250339,1.1757904,0.0187,0.022,0.29138947,0.74265194,636.172,0.0101,0.45126247,12.983971,0.06663277,MARCS,4.3371,-0.5082,37644.12207,29.824724,67886.40555,19.435268,43301.11098,25.76978,-28.403553,4.8512526,2016,5901.3164,,,0.000000185
Gaia DR3 3326699423431168896,0,105,0.249098,3.3267E+018,100.367794,9.678345681,3.817072,0.648137,1.684629,5964.27,6597.27,7717.84,3.905082,4.338369,4.448144,-0.430748,-0.34366,0.167704,1.503117,1.507418,1.845119,3.41172,4.038366,3.402299,3.419672,3.791581,4.439457,4.670696,0.999023,-9.89484,-0.7259,0.071069,9.921431,GBPRPgrizy/JHKsW1W2,0,0.001547217,2.986927,3.825251,2.243043,,,3.3267E+018,100.367794,9.678345681,203.1854325,2.207437891,100.5071067,-13.38357928,0.508339284,0.731621859,-0.46898336,18.13412,19.30072,17.070375,0.122128315,0.11435677,0.14156565,0.15767364,0.13643019,0.96080273,2.148,2.9719,1.1665993,2.2303448,571.5272,1.1865,1.0637455,,,MARCS,4.7995,-1.4387,260.0928862,9.900847,1050.264359,1.7401612,1177.6276,13.576999,,,2016,4775.0845,,,0.0000000814
Gaia DR3 3326699560870131968,0,106,0.245052,3.3267E+018,100.3886707,9.696148563,0.217775,1.0361,1.434939,4888.69,5004.34,5191.47,2.408218,2.435883,3.152782,-0.49499,-0.402167,-0.197037,2.232101,2.3711,4.67845,5.177648,5.317534,3.889377,3.922784,4.063258,4.269321,4.372542,0.997559,-12.497536,-1.840059,0.182359,12.632269,GBPRPgrizy/JHKsW1W2,0,-0.002655864,3.059508,4.006742,2.373171,,,3.3267E+018,100.3886707,9.696148563,203.1789766,2.233873175,100.5268541,-13.364309,0.336918508,0.512844608,0.741342839,16.627792,18.119558,15.449888,0.063754626,0.055796456,0.06615777,0.07872427,0.06487438,1.0159333,,,1.491766,2.66967,,,1.1779041,,,,,,771.9578094,10.4626255,4205.617978,4.1594095,5238.450185,11.440625,,,2016,,,,0.0000000826
Gaia DR3 3326699668244684032,0,107,0.224837,3.3267E+018,100.3899655,9.72260404,2.298191,0.415035,1.754737,6755.03,7394.44,8111.69,3.959584,4.075,4.149791,-0.574401,-0.229859,0.286295,0.892872,0.905413,0.947031,1.201471,1.21125,4.868065,5.036612,5.347094,5.699219,5.710425,1,-9.070066,-0.37212,0.037132,9.077697,GBPRPgrizy/JHKsW1W2,0,0.003154755,4.100283,5.331038,3.12936,,,3.3267E+018,100.3899655,9.72260404,203.1560002,2.247079721,100.5261576,-13.33783143,0.896780593,2.97195137,-1.479968444,16.280294,17.727617,15.110905,0.048377715,0.046441954,0.058404315,0.06350082,0.05430477,1.148373,3.7859,5.1115,1.4473228,2.6167126,821.1604,2.1275,1.1693897,,,A,4.0684,-0.9681,1107.566523,13.904211,5792.001825,3.8594227,7158.077774,20.005404,,,2016,6676.813,,,0.000000218
Gaia DR3 3326699840043378944,0,108,0.222426,3.3267E+018,100.378049,9.716498666,5.058194,0.97184,1.046717,5194.41,5596.18,5801.31,4.480092,4.503936,4.556613,-0.353804,0.179565,0.479058,0.595437,0.60784,0.704917,0.760165,0.772771,2.088529,2.211937,2.580133,2.805462,2.857634,0.910645,-8.847634,-0.276989,0.027476,8.851969,GBPRPgrizy/JHKsW1W2,0,0.15200698,2.056305,2.614591,1.535627,,,3.3267E+018,100.378049,9.716498666,203.1560739,2.233842433,100.5145816,-13.34478568,1.787188514,-12.67005249,-13.68679235,16.355188,17.28209,15.231286,0.124756105,0.12339538,0.15749626,0.16090266,0.13780724,2.680353,,,0.92690086,2.0508032,,,1.1239023,,,,,,1669.478489,15.835341,5405.943742,14.252824,6406.839218,17.880821,,,2016,,,,0.00000015
Gaia DR3 3326699874403113984,0,109,0.220299,3.3267E+018,100.3877186,9.726664269,6.744574,1.275711,0.687,4537.64,4702.35,4706.91,4.644892,4.676536,4.688135,-0.399745,-0.301714,-0.130053,0.434585,0.436692,0.460761,0.478005,0.478027,0.153795,0.172926,0.421274,0.447015,0.479477,1,-8.62333,-0.181014,0.018065,8.62523,GBPRPgrzy/JHKsW1W2,0,-0.005080104,0.349851,0.434982,0.254919,,,3.3267E+018,100.3877186,9.726664269,203.1513732,2.246961543,100.5235802,-13.33394551,2.173175539,3.609787346,-10.13397253,15.411803,16.081295,14.625521,0.029042203,0.027316691,0.034213495,0.035560522,0.031363968,1.0294845,0.1953,0.259,0.66949177,1.4557743,475.5937,0.1024,0.78628254,,,PHOENIX,4.6543,0.2917,5045.439381,17.79691,12889.18479,5.861769,11193.08642,14.509768,,,2016,4527.1377,,,0.000000203
Gaia DR3 3326699908762855168,0,110,0.197248,3.3267E+018,100.3603651,9.734967868,3.03659,0.569567,1.478562,6298.06,6606.16,6891.66,4.034336,4.134069,4.174554,-0.550845,-0.282748,0.033112,1.049167,1.066742,1.143732,1.174654,1.526888,4.842448,4.896409,5.147013,5.225805,5.621436,1,-9.250987,-0.448971,0.044439,9.261876,GBPRPgrizy/JHKsW1W2,0,0.018882513,3.90392,5.101314,3.004091,,,3.3267E+018,100.3603651,9.734967868,203.1316678,2.226760708,100.4953207,-13.32764903,0.657134484,-3.899884655,1.075954872,17.232132,18.70547,16.03868,0.07119646,0.068243764,0.08553839,0.095952146,0.081371605,1.0036807,2.9503,4.171,1.4733372,2.66679,652.6443,1.6407,1.1934528,,,PHOENIX,4.2436,-1.3128,450.0170735,10.662399,2410.428274,2.7949154,3045.695768,25.073948,,,2016,4959.3804,,,0.0000000256
Gaia DR3 3326707570984544128,0,111,0.261352,3.32671E+018,100.0735815,9.69584241,3.468788,0.615333,1.328738,6020.33,6325.86,6931.32,4.07736,4.247235,4.353355,-0.613389,-0.281342,0.024769,1.078541,1.166459,1.501158,1.754411,2.254829,3.573326,3.590798,3.775393,4.167339,4.245584,0.999023,-9.580635,-0.587106,0.051275,9.598607,GBPRPgrizy/JHKs,0,0.037749887,2.95729,3.797617,2.230121,,,3.32671E+018,100.0735815,9.69584241,203.0373241,1.957419621,100.2084717,-13.38717016,0.672439169,-0.411044056,-1.303062491,17.30821,18.412971,16.230143,0.07339164,0.07046589,0.09062928,0.108870745,0.09257009,1.0257156,2.7865,3.7037,1.1047611,2.182829,700.7051,1.5719,1.0780678,,,MARCS,4.5512,-3.4953,589.1530761,16.11725,2247.308151,2.2786891,2553.295415,23.605684,,,2016,6018.844,,,0.000000221
Gaia DR3 3326707635409137792,0,112,0.261684,3.32671E+018,100.0697879,9.698609714,7.733213,2.011303,0.548995,3620.81,3621.56,3625.15,4.234411,4.252585,4.346,-0.639096,-0.590725,-0.39797,0.428987,0.430515,0.43396,0.436802,0.448993,0.387104,0.46089,0.495482,0.50744,0.510698,1,-8.599131,-0.169694,0.014807,8.600804,GBPRPgrizy/JHKsW1W2,1001,0.01550591,0.39777,0.502795,0.297421,,,3.32671E+018,100.0697879,9.698609714,203.0331513,1.955358365,100.2044344,-13.38467733,2.186771474,-1.132345687,11.33615532,16.31823,17.464174,15.247497,0.042947926,0.041321315,0.052488655,0.062880315,0.053929143,0.95109224,,,1.1459446,2.2166777,,,1.0707331,,,,,,1411.714399,16.822956,5593.125946,3.5391228,6311.890986,17.213243,,,2016,,,,0.000000117
