ID,Deviation,GMAG,B-R
101,1.416748287028979,2.599674,0.02882857275084003
131,1.0266779573192086,1.2119,0.3868791421114624
140,1.3466826176057551,2.864242,0.1423278586242858
155,0.9770025371584463,2.250628,0.7223407879659545
173,0.7626161742569879,2.223185,0.6403183780875508
198,1.3182626089476077,5.119092,0.9167553568662511
247,1.4467224158850245,4.917961,0.8049664825359223
263,1.4034419379027046,2.661548,0.05432784768111177
277,0.5769417774816334,1.687704,0.39572068808563826
285,0.5908360205701895,2.505641,0.6778568288406949
292,1.0676545094741574,1.570124,0.5222778832721074
346,1.1441718223417192,3.105034,0.29268496636808455
355,0.43909703286983276,0.094609,-0.191370339670248
362,0.4674490731872112,2.499198,0.31672796066926817
397,0.18141205549558537,3.168816,0.6408619972601693
421,1.426390548981976,2.661706,0.04659784822655844
424,1.1284692943377312,1.780438,0.6142379168060644
433,0.4028491076366447,2.458177,0.3247253500420608
505,0.5855819520875758,2.771671,0.7663054360929809
532,1.470561843610831,4.865949,0.779239594700042
549,0.999040071086087,0.64592,0.18553895334536508
570,0.4366141151336679,-0.22872,-0.3018775102602561
608,0.9322763123339606,1.948123,-0.02784041124360407
630,1.0466824955365956,1.723426,-0.14285564326508418
644,0.6686616142044621,1.161282,-0.2053055530951804
654,1.3997663731816212,6.453708,1.3417793663266866
656,1.202354380317125,4.895303,0.8801649249141372
681,0.5549438034791643,2.279148,0.5888623925817548
682,1.256023967588694,3.197907,0.28624771982402675
692,0.17197439809866255,3.018825,0.7098485961658999
694,0.5015880572879556,1.857126,0.42762627188347746
699,1.2420914772766782,2.649607,0.10500376177254016
728,1.2756907919324583,2.206689,0.8087452987358328
731,0.052086691306715505,2.43939,0.43732302362921205
756,1.4445789040010302,2.11626,-0.1445726843103064
768,0.794753266945968,2.892737,0.3391931334694366
800,1.3140806597458417,6.609363,1.4236360386524627
810,1.2073153282423503,2.980914,0.22916991653310115
831,0.7936897265862422,2.684662,0.26898007667426127
844,1.042593134618722,2.53974,0.1354044485925202
882,0.7066689571918556,2.959737,0.3917938130053808
888,0.7909247780528692,2.847243,0.325061244815386
913,1.2034496461358377,2.213628,-0.029762966854084826
920,1.2059901838339233,2.803017,0.16928120434961083
926,1.3056788205060201,1.01595,0.4150478965560567
