ID,Deviation,GMAG,B-R
99,1.427909618772551,1.049143,0.5656170197492463
116,1.2874420673782874,6.310009,0.8819340516692581
156,1.476558260556378,3.334671,0.1902693056380791
188,0.7648777129627162,2.847243,0.29735388152267567
189,1.0928690929109772,2.803017,0.1480585451619229
193,0.7324009761686312,1.570124,0.4863609217461755
194,0.710743468627673,2.250628,0.6780957457985496
205,1.1627103627267952,1.01595,0.383594630975767
235,1.017334986137292,0.590921,0.12457164868504889
258,0.4281636862190208,2.499198,0.2893674895827036
264,0.3648748079348101,2.223185,0.5994877082392952
272,0.692865189565379,2.684662,0.2436072215776706
359,0.3424915147018823,2.65474,0.49224852969980126
427,0.9650678215809791,-2.148273,-0.24919403551915448
439,0.2393048811582097,2.43939,0.4049425044191294
446,1.496314081995588,3.741228,0.4453530969957959
471,0.23440679902509887,2.237352,0.5637829663363542
484,1.3715388854196386,2.206689,0.7609034691750841
489,0.9397394860526349,1.2119,0.35659846601718176
510,1.2410170480751255,2.649607,0.08645679964137884
524,0.5895975969554321,4.895303,0.8293500884028647
559,1.4963612641213544,0.727716,0.42748907789909335
581,1.4767872219518028,3.423136,0.22303871494255806
605,0.1262440785290342,3.018825,0.6661235703446478
662,1.1743056028736647,3.197907,0.2601560591854517
704,0.6462241688899313,1.981178,0.6098418504282433
716,0.47252480864264523,1.687704,0.36507196221230986
754,1.2550048882866576,5.185424,0.7965955040104994
763,0.7924870454591111,2.892737,0.3108974976606026
767,0.33354467723975656,1.857126,0.3956494023685864
806,0.9745422119180793,2.53974,0.11559198763347577
813,0.5447250362597225,3.12213,0.596556611330008
826,1.167777101910184,3.700664,0.583639877190021
846,0.4553566168074372,6.551831,0.9454270324065605
873,1.0705493342338217,3.105034,0.266325340469233
874,0.7232306106796684,1.780438,0.5744929064160249
889,0.5490910353805842,0.694696,-0.059640591392044834
893,0.9528494809272785,3.210998,0.4558152492587137
906,0.4710413678109471,2.771671,0.720230263869551
912,1.214263273229959,1.366215,0.5974079848542374
925,0.21326450371796035,6.105931,0.9570179958346873
927,1.123802676482757,0.64592,0.16363952779315466
