SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,RA_ICRS,DE_ICRS,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP_RPCorr,AG50,ABP50,ARP50,GMAG0,BP-RP0,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
2750843509896162304,7.469553932485053,9.920645540427103,0.5059393500979166,-6.672292973686178,-6.562346116114428,2173.1889792274474,1.9036541,17.344624,961.0551360843729,9.256981,17.881672,1687.4071324928036,10.86393,16.679846,1.2018261,0.53704834,0.66477776,114.17247599203172,-52.58403896103839,7.4695539325,9.9206455404,0.690692,0.783673,0.799,4991.78,5082.28,5163.06,4.546919,4.577825,4.628363,-0.445006,-0.051141,-0.03658,1.484947,1.550402,1.745852,1.831038,2.088981,0.151354,0.208462,0.231418,0.341623,0.407869,0.730469,-8.634371,0.967762,-1.386635,8.688437,GBPRPgrizy/JHKsW1W2,0,-0.018019557,0.195378,0.240959,0.14066,5.93921,1.101527,0.0009510752152001373,0.010457921640673634,0.006990228752031071
2750843539960256128,7.498708578411641,9.92107444592562,0.2286863534863758,1.755969499201254,-10.196843288992731,802.687348389331,1.1975856,18.426,404.2250414241349,10.801144,18.821983,544.0891374694502,10.452548,17.90872,0.9132633,0.39598274,0.5172806,114.21939360484954,-52.58755502939021,7.4987085784,9.9210744459,0.64956,0.761861,0.84218,5574.42,5720.51,5991.08,4.386077,4.516,4.628725,-1.583284,-0.597011,-0.471277,3.077729,3.092004,3.90612,5.115096,7.240733,-0.088141,0.12386,0.299856,0.402612,0.45388,0.998047,-9.173544,2.164275,-3.102563,9.42539,GBPRPgrizy/,0,-0.027656674,0.257017,0.314737,0.182864,5.210256,0.78139,0.0016198860341811142,0.029011544332335038,0.020858181212202842
2750843647335115392,7.500370676517324,9.945349580979446,0.4051151362639631,2.3827885288732786,0.7491160479019018,5628.431224191379,2.9310315,16.311398,2972.1478418233964,12.333525,16.655867,3771.0390334702347,9.92973,15.806743,0.84912395,0.34446907,0.5046549,114.22752679893647,-52.56373208364859,7.5003706765,9.945349581,0.758257,0.825682,0.900702,5743.78,5865.03,6040.43,4.21356,4.469958,4.541837,-1.028454,-0.503587,-0.209129,1.488416,1.569808,1.790093,2.406912,3.200043,0.114953,0.154442,0.246045,0.368646,0.441763,0.990234,-8.646538,0.992317,-1.421387,8.703293,GBPRPgrizy/JHKsW1W2,0,-0.0055924654,0.212058,0.258991,0.150267,4.834961,0.7404,0.0005654021258594709,0.004505480553475444,0.002858911753428901
2750843677399211264,7.447521042891046,9.92728364310793,0.5508376120820769,4.446996776535503,-3.292964571641228,857.9030575959772,1.323218,18.353771,426.6579445456499,6.4171925,18.763342,579.7176800106404,11.296792,17.839853,0.9234886,0.4095707,0.5139179,114.13860707221333,-52.57447232512428,7.4475210429,9.9272836431,0.63214,0.647,0.712872,5334.45,5488.98,5515.74,4.586812,4.628132,4.680112,-1.657222,-1.161334,-0.65812,2.6729,2.749733,3.054207,3.28913,3.357141,-0.07982,-0.078489,0.081871,0.172829,0.343977,0.993652,-8.959057,1.69383,-2.42548,9.117771,GBPRPgrizy/W1,0,-0.03690684,0.070222,0.085942,0.04997,5.859057,0.887516,0.0016746247302114583,0.016330126450996508,0.02115742977639066
2750843711758950784,7.466240052038175,9.93180362214021,1.1906209456154884,-0.5457318153702727,-8.774954224861894,5809.474939586663,4.194065,16.277025,2426.6270094023175,13.261153,16.876034,5486.257664025133,36.145214,15.399705,1.4763288,0.59900856,0.8773203,114.16968223169309,-52.57253782754968,7.466240052,9.9318036221,0.686,0.709632,0.759902,4538.31,4620.61,4738.72,4.49,4.566741,4.659312,-0.475348,-0.310916,0.261518,0.675831,0.675961,0.763414,0.796937,0.800274,0.160831,0.27928,0.369055,0.576561,0.601375,0.92041,-8.389968,0.423297,-0.606245,8.40064,GBPRPgrizy/JHKsW1W2,0,0.09470475,0.306265,0.380899,0.223323,6.556961,1.318752,0.0007838313040361841,0.005933385770964616,0.007153176164802449
2750843819133806976,7.473871656160385,9.941177921772436,2.4481049797664665,-39.17428392551759,-39.23565273138859,13485.903480288978,10.689606,15.362667,4507.786853040646,14.715477,16.203634,13544.174251864231,20.175003,14.418514,1.78512,0.8409672,0.94415283,114.18405329889208,-52.56428642386289,7.4738716562,9.9411779218,0.672,0.673196,0.696244,4025.54,4122.66,4179.99,4.46,4.523681,4.547178,-0.296653,-0.197761,0.001444,0.364576,0.375675,0.397313,0.415181,0.420915,-0.051423,0.034547,0.210924,0.299359,0.340196,1.0,-8.298941,0.220318,-0.315481,8.301865,GBPRPgrzy/JHKsW1W2,0,0.032595754,0.173363,0.216577,0.127425,7.193638,1.695968,0.0008606091504390618,0.0035443393086067114,0.0016172806726393245
2750844162731219840,7.559304975114966,9.934829660910973,3.4432355765845637,28.81648241073119,4.069186947614197,120179.70627871236,29.589567,12.987789,56996.86120494313,50.16622,13.448915,89313.05083527845,50.00483,12.370608,1.0783062,0.46112537,0.6171808,114.31979998072305,-52.58205021398961,7.5593049751,9.9348296609,0.838486,0.840668,0.854145,5176.55,5185.62,5341.94,4.535955,4.537108,4.560164,-0.046321,0.048794,0.061687,0.283469,0.286038,0.287442,0.291521,0.292698,0.03335,0.043592,0.097636,0.255083,0.402934,1.0,-8.271929,0.159158,-0.228293,8.273459,GBPRPJHKsW1W2,1,-0.00683558,0.083011,0.10202,0.059467,5.612029,1.035753,0.0002673202104586033,0.0009556189922712282,0.0006078848857126319
2750844403249388160,7.567685574582846,9.949086749968153,0.36701623652199755,22.622192502174876,-14.214644266522647,126899.52000360223,29.308823,12.928717,59037.37462526206,33.883156,13.410725,96953.66479435931,40.326622,12.281485,1.12924,0.48200798,0.64723206,114.3364297546083,-52.56903979530487,7.5676855746,9.94908675,0.832295,0.856589,0.917635,4838.63,4994.57,5147.94,2.366975,2.398669,2.431876,-0.595071,-0.491373,-0.221704,2.365265,2.763936,2.887315,3.013421,3.294848,-0.073666,0.029298,0.18473,0.384888,0.391845,1.0,-8.923193,1.598984,-2.292777,9.065326,GBPRPJHKsW1W2,0,-4.31538e-05,0.155807,0.192237,0.112274,0.470439,1.049277,0.00025076257064893085,0.0006231335529694016,0.0004515979217901184
2750844815566258432,7.593992922940976,9.973324412560823,0.9145566044559268,-4.695756005137444,-0.880892260138474,5291.648226374643,2.6527328,16.37839,2424.1393938281963,13.560355,16.877148,4085.735077447457,11.637537,15.71972,1.1574278,0.49875832,0.6586695,114.38403097290788,-52.54851262337428,7.5939929229,9.9733244126,0.658072,0.721,0.743938,4957.73,5046.79,5081.47,4.56146,4.646454,4.652153,-0.487168,-0.322845,-0.207484,0.912267,0.933012,0.999472,1.122515,1.168328,0.059008,0.075078,0.206551,0.302597,0.479284,1.0,-8.450917,0.553555,-0.793449,8.469027,GBPRPgrizy/JHKsW1W2,0,-0.0019210577,0.174346,0.215037,0.125549,6.205191,1.06794,0.0005442856313627608,0.006073482660611946,0.003092539045823158
2750844845630326144,7.565714875767377,9.976746982837826,0.9214515286261036,24.915127460657164,-3.2181885678816107,964.5245982495494,1.486963,18.226583,271.0030576283866,9.138467,19.256107,1000.3500771634001,8.834092,17.247515,2.0085926,1.0295238,0.97906876,114.33940957789521,-52.54137079552974,7.5657148758,9.9767469828,0.6,0.625505,0.631595,3820.01,3898.13,3905.23,4.640593,4.649866,4.674585,0.058355,0.178908,0.187277,0.964265,0.966297,0.998472,1.040742,1.042494,0.061723,0.065916,0.195722,0.216651,0.233692,1.0,-8.450276,0.553286,-0.79258,8.46837,GBPRPgrizy/JHKsW1W2,0,-0.017996192,0.159869,0.20032,0.11808,8.070035,1.926353,0.0016738293701675732,0.0366120013021045,0.009588137084948939
