designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error_x,dec_x,dec_error_x,parallax_x,parallax_error_x,parallax_over_error,pm,pmra_x,pmra_error_x,pmdec_x,pmdec_error_x,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
Gaia DR3 6430985408544678656,1,12,304.3074075,304.3074075,-61.57396995,-61.57396995,2.885473,0.559936,290.6856981,-40.57588138,1.52857806,7.632953319,-5.881306373,0.029118029,0.026244299,0.043580338,0.028982773,0.028875913,-20.71678543,1.439591527,2016,6731.441406,,,4.3E-5,1.161788,1.317761,1.416025,6263.9,6506.18,6844.54,3.989336,4.044596,4.077105,-0.456363,-0.09743,-0.039556,0.582659,0.597383,0.625809,0.671534,0.681672,-0.058405,-0.051126,0.102129,0.299996,0.490176,1.0,-7.728002,-0.218682,-0.347899,7.731096,-7.56E-4,0.089898,0.108695,0.062711,7.1E-8,0.045984,2.545061,0.491847,304.30733624751,-61.57394381186,4.747E-4,4.668E-4,106.68,6430985408544678656,304.30740751329,0.0291,-61.57396995102,0.0262,1.5286,0.0436,35.0749,9.636,7.633,0.029,-5.881,0.029,373,36.7567,5536.52,0.316,161.1,31,,,23,2.624,false,310395.0,76.8935,11.957581,182611.0,78.4609,12.184725,185198.0,11.578805,1.185,0.60592,,,0,,,,,485695402,,0.002768,0.002829,0.003804,11.957581,0.002768,310395.0,-0.001,0.474,0.4675,-0.0092,0.154155
Gaia DR3 6361864751800095232,1,13,303.485315,303.485315,-78.87850574,-78.87850574,2.26291,0.355439,281.1911299,-56.74722138,3.453103285,19.96046103,-21.95090323,0.010159016,0.011892497,0.013906831,0.012414842,0.015780462,,,2016,7298.835938,,,1.32E-4,1.582655,1.739318,1.780981,7493.42,7749.44,8014.08,4.192205,4.22407,4.243829,-0.125803,0.207544,0.308052,0.283553,0.286524,0.287466,0.289264,0.291254,0.130815,0.229539,0.351759,0.451027,0.485319,1.0,-8.024812,-0.175011,-0.146002,8.02672,-0.009666204,0.316485,0.378946,0.216999,1.79E-7,0.161947,2.518429,0.480394,303.48485509171,-78.87840817953,2.553E-4,1.966E-4,171.36,6361864751800095232,303.48531500334,0.0102,-78.87850573945,0.0119,3.4531,0.0139,248.3027,29.669,19.96,0.012,-21.951,0.016,387,0.0799,926.8,0.1,12.94,31,,,28,1.002,false,2118440.0,806.384,9.872325,1281790.0,1799.43,10.069002,1198150.0,9.551616,1.171,0.517386,,,0,,,,,484906601,,0.002786,0.003179,0.0043,9.872325,0.002786,2118440.0,-0.01,0.1982,0.2541,-0.0782,0.474707
Gaia DR3 2086473637560331264,1,14,298.5716,298.5716,47.96392795,47.96392795,2.504796,0.236783,322.6848472,66.2554911,1.376204114,2.040880573,-2.861816772,0.009405113,0.01218739,0.011623607,0.012699943,0.014033564,-14.68373203,10.18774414,2016,8003.980469,28.77322388,184.1126404,1.6E-5,1.40489,1.466991,1.58834,7651.51,8009.95,8204.1,4.252612,4.284083,4.322527,-0.502907,-0.242541,-0.091252,0.683478,0.691868,0.700085,0.712165,0.715349,0.100911,0.113788,0.245414,0.351617,0.468368,1.0,-8.104299,0.682316,0.124117,8.132971,-0.007993817,0.222903,0.265703,0.151783,1.21E-7,0.11392,2.506163,0.474245,298.57158641042,47.96394067346,2.285E-4,2.038E-4,3.5,2086473637560331264,298.57159995672,0.0094,47.96392795427,0.0122,1.3762,0.0116,118.3973,3.515,2.041,0.013,-2.862,0.014,349,-2.1793,761.93,0.09,11.73,31,,,27,0.917,false,311577.0,78.8892,11.953454,200980.0,195.542,12.080661,161130.0,11.729958,1.162,0.350703,,,0,,,165552985716247379,,,690308154,0.002769,0.002983,0.003867,11.953454,0.002769,311577.0,-0.008,0.2039,0.2284,0.0139,0.056313
Gaia DR3 2078414908830476416,1,15,298.0749436,298.0749436,42.02053076,42.02053076,1.765366,0.158848,316.2132045,61.03293338,0.542521884,-4.893932249,-3.986807512,0.009880055,0.010738548,0.011694982,0.01364026,0.013518166,,,2016,8147.9375,,,2.8E-5,1.687594,1.844021,2.071642,7900.58,8330.19,9237.68,4.105946,4.161064,4.238111,-0.321715,-0.003121,0.289903,1.609038,1.628265,1.675074,1.748306,1.787928,0.566836,0.707015,0.853188,1.112644,1.278899,1.0,-7.815629,1.615382,0.220622,7.980822,-0.005891085,0.765032,0.918127,0.525311,2.06E-7,0.392816,2.504796,0.473944,298.0749728938,42.02054848069,2.272E-4,2.094E-4,48.4,2078414908830476416,298.07494361574,0.0099,42.02053076155,0.0107,0.5425,0.0117,46.3893,6.312,-4.894,0.014,-3.987,0.014,370,-1.7996,323.76,0.0,0.0,31,,,29,0.933,false,65270.9,20.1055,13.650567,39082.8,24.6026,13.858579,37704.4,13.306915,1.176,0.551663,,,0,,,158422980749455302,,,661335870,0.002776,0.002873,0.003857,13.650567,0.002776,65270.9,-0.006,0.2196,0.2174,0.081,0.101033
Gaia DR3 2073649762877445504,1,16,297.1114288,297.1114288,39.86610306,39.86610306,0.41088,0.076156,313.2482409,59.30159922,2.116963089,0.986292874,-4.642474186,0.01087286,0.012598192,0.013815539,0.014655467,0.015051234,,,2016,8135.758,,,2.1E-5,2.003637,2.114107,2.506882,8068.97,8527.02,9135.25,3.692033,3.711343,3.834844,-0.512802,-0.237212,0.12754,0.457176,0.457467,0.465544,0.466556,0.472975,0.014233,0.260932,0.413577,0.564791,0.606283,1.0,-8.075509,0.444854,0.05778,8.087752,-7.62E-4,0.377883,0.449338,0.25607,5.78E-5,0.193268,2.465316,0.471911,297.11142310967,39.8661236914,2.475E-4,2.311E-4,31.31,2073649762877445504,297.11142882078,0.0109,39.86610305818,0.0126,2.117,0.0138,153.2306,4.746,0.986,0.015,-4.642,0.015,393,-3.5924,905.19,0.111,15.15,31,,,29,0.873,false,4202610.0,1189.11,9.128568,2807640.0,1525.17,9.21769,2088580.0,8.948265,1.165,0.269424,,,0,,,,,,650330514,0.002772,0.002852,0.003835,9.128568,0.002772,4202610.0,-0.001,0.2356,0.2432,0.0606,0.075919
Gaia DR3 2086580535008581632,1,17,296.6217233,296.6217233,47.63056152,47.63056152,1.574696,0.367021,319.3956066,66.56265962,1.073902014,2.240665842,-1.487166425,0.022837056,0.021916496,0.02438573,0.030914886,0.026747713,2.67516923,3.757947922,2016,,35.76724625,28.10219765,1.2E-5,1.860351,1.92793,1.984054,7455.9,7655.97,7917.72,3.954272,3.981266,3.989,0.080576,0.192383,0.387537,0.838042,0.856603,0.870783,0.906773,0.948667,0.035562,0.051314,0.12178,0.236375,0.340131,1.0,-8.067486,0.843863,0.169111,8.1115,0.005431414,0.110159,0.131532,0.075265,1.8E-7,0.056267,2.458177,0.457022,296.62170856739,47.63056812859,4.984E-4,4.321E-4,97.48,2086580535008581632,296.62172334465,0.0228,47.63056151896,0.0219,1.0739,0.0244,44.0381,2.689,2.241,0.031,-1.487,0.027,348,13.6536,3518.71,0.263,103.8,31,,,27,1.563,false,526241.0,251.36,11.384405,334328.0,404.92,11.52811,286569.0,11.104821,1.18,0.423288,,,0,,,,,,689303540,0.002804,0.003085,0.004017,11.384405,0.002804,526241.0,0.005,0.4974,0.4333,-0.037,0.042936
Gaia DR3 2134831743800134656,1,18,295.1362813,295.1362813,49.27320798,49.27320798,2.127192,0.271668,319.0518474,68.47350775,0.80146324,-8.786476446,-18.02929966,0.011075607,0.011533153,0.011958082,0.015437549,0.015035279,,,2016,7570.593,,,8.9E-5,1.534049,1.62618,1.724024,7425.95,7769.6,8263.46,4.120197,4.150302,4.177932,-0.323763,-0.126632,0.094199,1.143253,1.151314,1.196974,1.205944,1.237849,-0.003316,0.140965,0.283059,0.506976,0.574706,1.0,-8.039562,1.156002,0.265831,8.122248,-0.006428242,0.255367,0.305355,0.174762,9.89E-5,0.130593,2.406042,0.449932,295.13634119467,49.2732881121,2.551E-4,2.383E-4,121.69,2134831743800134656,295.13628134196,0.0111,49.27320798189,0.0115,0.8015,0.012,67.0227,20.056,-8.786,0.015,-18.029,0.015,381,2.9563,861.89,0.103,12.93,31,,,28,1.109,false,146472.0,29.8937,12.772984,92841.8,54.0007,12.919183,78053.0,12.516921,1.167,0.402262,,,0,,,167122951362338529,,,697295655,0.002764,0.002861,0.003811,12.772984,0.002764,146472.0,-0.006,0.2505,0.243,-0.0607,0.320951
Gaia DR3 6684888176981899264,1,19,295.0325472,295.0325472,-44.33592963,-44.33592963,2.109881,0.221064,289.1286566,-22.54495968,0.674961286,-0.797557024,-1.658694483,0.012678623,0.010786218,0.01574031,0.0160681,0.011614706,,,2016,8298.196,,,8.0E-6,1.457186,1.557575,1.806179,7726.21,7983.71,8467.9,4.129096,4.158038,4.244139,-0.530712,-0.309985,0.112814,1.304737,1.346709,1.409286,1.43477,1.461925,-0.034678,0.090982,0.212343,0.370217,0.495853,1.0,-6.949154,-0.118687,-0.638267,6.950168,-0.01306355,0.192962,0.229949,0.131355,9.35E-5,0.098594,2.403373,0.442668,295.03255219164,-44.3359222537,2.594E-4,1.84E-4,96.81,6684888176981899264,295.03254723579,0.0127,-44.33592962568,0.0108,0.675,0.0157,42.8811,1.84,-0.798,0.016,-1.659,0.012,303,1.8242,486.7,0.074,5.249,31,,,19,1.074,false,113713.0,78.0665,13.047838,73847.2,101.595,13.167707,57535.8,12.848049,1.155,0.319657,,,0,,,,,480528889,,0.002854,0.003165,0.004248,13.047838,0.002854,113713.0,-0.013,0.2585,0.1852,-0.0823,0.029502
Gaia DR3 6752277588245937280,1,20,294.8350105,294.8350105,-29.74298502,-29.74298502,1.888852,0.375458,291.6166236,-8.148453666,2.972287967,-14.03480896,-17.50209538,0.020841943,0.018218704,0.02608436,0.02530931,0.018664889,,,2016,7248.0176,,,1.0E-4,1.443808,1.699,1.721003,7105.64,7333.31,7592.77,3.890106,3.971,3.987849,-0.624817,-0.029847,0.07863,0.325909,0.328417,0.333666,0.33581,0.338624,0.177256,0.326377,0.390136,0.52165,0.566363,1.0,-7.896944,0.053424,-0.128981,7.897125,-0.003508687,0.347181,0.417824,0.240008,5.49E-5,0.177816,2.381899,0.437237,294.83508232463,-29.74290723757,4.113E-4,3.023E-4,96.03,6752277588245937280,294.83501048329,0.0208,-29.74298502474,0.0182,2.9723,0.0261,113.9491,22.434,-14.035,0.025,-17.502,0.019,156,-0.2121,350.21,0.105,9.304,31,,,13,0.986,false,2157300.0,1360.26,9.852592,1293520.0,2881.95,10.059109,1249750.0,9.505835,1.179,0.553274,15.58,0.22,2,6750.0,4.5,,,229677948,,0.002839,0.003693,0.00396,9.852592,0.002839,2157300.0,-0.004,0.4103,0.3037,-0.0652,0.358904
Gaia DR3 2128923414988409216,1,21,292.8602919,292.8602919,48.50097352,48.50097352,1.977875,0.491847,314.4658309,68.43974199,0.732127316,8.959228766,4.531109339,0.010526641,0.010749964,0.011627042,0.013670914,0.013843354,,,2016,7071.7886,,,4.5E-5,1.570233,1.578955,1.619147,6496.47,6634.85,7126.48,3.826144,3.877,3.917,-0.164925,-0.056212,-0.029422,1.243044,1.257173,1.326008,1.333541,1.341914,-0.131643,-0.08117,0.072509,0.256016,0.331887,1.0,-7.9921,1.270649,0.317056,8.092479,-0.005385399,0.064093,0.077341,0.044571,1.05E-4,0.03277,2.372011,0.428137,292.86023176241,48.50095338581,2.305E-4,2.141E-4,36.43,2128923414988409216,292.86029185645,0.0105,48.50097352408,0.0107,0.7321,0.0116,62.9676,10.04,8.959,0.014,4.531,0.014,364,2.9505,730.11,0.085,9.309,31,,,26,1.111,false,163331.0,28.2061,12.654698,98902.3,61.2085,12.850526,93066.8,12.325909,1.175,0.524617,-53.14,4.01,13,6500.0,3.5,,,,693289244,0.002762,0.00287,0.003803,12.654698,0.002762,163331.0,-0.005,0.22,0.2248,0.0702,0.160724
