SOURCE_ID,ra,dec,parallax,pmra,pmdec,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,RA_ICRS,DE_ICRS,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,FlagPhoto,FlagOut,BP_RPCorr,AG50,ABP50,ARP50,GMAG0,BP-RP0,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error
2751548640446744192,7.607997717206829,11.208313113930632,0.735595865577266,-5.346494803808036,-6.969897300642439,2558.545129284019,1.5748745,17.167385,1111.1302311784457,7.6083,17.72413,2085.555067445965,12.517429,16.44984,1.2742901,0.5567455,0.71754456,114.6712473002917,-51.32620416990362,7.6079977172,11.2083131139,0.687248,0.706941,0.785527,4974.37,5040.03,5234.02,4.577155,4.605292,4.657605,-0.58944,-0.359797,-0.145651,1.073606,1.261182,1.306946,1.461011,1.575047,0.367466,0.421765,0.5018,0.641508,0.841312,0.999023,-8.540896,0.742142,-1.020354,8.573079,GBPRPgrizy/JHKs,0,0.0049915314,0.419628,0.520052,0.304057,6.166469,1.058295,0.000668308823273,0.0074344183623447,0.0065165511330286
2751549087123990400,7.486985839736561,11.186822604890926,0.2020567878090765,1.7043082325176122,-2.2861331698947955,207996.5283334681,34.649437,12.392226,86588.16938361576,46.24762,12.994896,173226.36859007343,57.22956,11.6513605,1.3435354,0.6026697,0.7408657,114.47839135243224,-51.33185379441576,7.4869858397,11.1868226049,0.784205,0.813843,0.857378,4425.6,4557.14,4657.04,1.46584,1.523563,1.653698,-1.2757,-0.787788,-0.507536,3.772518,4.206973,4.743624,4.97184,6.153994,-0.046683,0.003825,0.174996,0.31538,0.447381,0.990723,-9.428074,2.697459,-3.703717,9.806369,GBPRPJHKsW1W2,0,-0.0029281378,0.145825,0.180963,0.106066,-1.13415,1.268639,0.0001808691158129,0.0005799027208038,0.0003586994676689
2751549362001284096,7.548347272913223,11.210688404858544,0.4560836858588585,-1.9352444019325672,-1.7425692954307097,9945.485003155927,3.099094,15.693302,5311.796994584547,10.25236,16.025438,6651.112144752311,14.787118,15.1906595,0.8347788,0.33213615,0.50264263,114.5789264643644,-51.31617949781753,7.5483472729,11.2106884049,0.865581,0.982618,1.131293,5917.58,6059.0,6222.44,4.086206,4.231593,4.363446,-0.625198,-0.275252,0.040886,1.725072,1.823145,2.021206,2.259678,2.300619,0.104997,0.149062,0.245248,0.349727,0.428856,1.0,-8.725464,1.14883,-1.577767,8.800769,GBPRPgrizy/JHKsW1W2,0,0.0003724098,0.212449,0.258849,0.149961,3.952801,0.725891,0.000338324220824,0.0020955919100416,0.0024138683849695
2751549946116806912,7.72485791479335,11.139702904656035,0.4777096756173954,2.598047234690883,-10.188940655493498,1953.1307123596368,1.2691158,17.460539,850.7429328301936,8.552037,18.014046,1544.7497658276577,7.3732557,16.77575,1.2382965,0.55350685,0.68478966,114.83916426542164,-51.40903312017812,7.7248579148,11.1397029047,0.68386,0.686577,0.724217,4900.13,4918.74,5134.36,4.593267,4.617005,4.622298,-0.354973,-0.353177,-0.336024,1.499088,1.502176,1.518195,1.616425,1.727483,0.235271,0.239992,0.259794,0.542207,0.557629,0.908203,-8.597801,0.859379,-1.186649,8.640643,GBPRPgrizy/JHKsW1W2,1,-0.014073491,0.218146,0.269747,0.157694,6.335755,1.126243,0.0007054955254551,0.0109142916109965,0.0051823349449479
2751549980476545792,7.7492451578766115,11.13897754854312,0.2948256833250629,6.911777629500357,-4.479272739119419,803.2761834938896,0.90726364,18.425205,409.3542106973834,7.459109,18.808294,528.6910279856099,8.438271,17.93989,0.8684044,0.38308907,0.48531532,114.87706590362347,-51.4128009121552,7.7492451579,11.1389775485,0.69113,0.735422,0.806102,5685.56,5924.05,6085.55,4.283565,4.513745,4.530052,-1.807075,-1.005521,-0.589493,3.79872,3.820873,3.893071,5.639894,9.40268,0.21588,0.226984,0.364629,0.463446,0.563579,0.999023,-9.221447,2.202828,-3.043057,9.480904,GBPRPgrizy/,0,-0.03748381,0.31357,0.383424,0.222496,5.160173,0.707476,0.0012262892859847,0.0197839042564637,0.0173290927539482
2751550667671311232,7.748399040430487,11.178419147862272,0.3019252380769859,-4.374842347170066,-7.93316906024614,7934.216375081337,2.4647565,15.938607,3657.6133870267504,9.358006,16.430548,6151.434532719094,10.664766,15.2754545,1.1550932,0.4919405,0.6631527,114.8837776069657,-51.3735734957021,7.7483990404,11.1784191479,0.945501,0.956183,0.957628,5039.84,5052.97,5085.75,3.378798,3.489137,3.580048,-0.40604,-0.307156,-0.306194,3.018479,3.066278,3.483594,3.841688,4.041727,0.233709,0.234428,0.24802,0.316492,0.355417,0.987793,-9.115025,1.972716,-2.721497,9.326054,GBPRPgrizy/JHKsW1W2,1001,0.0043964386,0.209116,0.258071,0.150696,3.019354,1.047718,0.0003372828807905,0.0027778565764838,0.0018823451405114
2751551217427156608,7.671936878678597,11.183287078111324,0.5235965347868653,-1.475483162501925,-4.617483346460588,1911.6296685139296,1.3672711,17.483858,840.4873708737721,7.527149,18.027214,1512.1064118513425,8.116415,16.798939,1.2282753,0.54335594,0.68491936,114.76561783859827,-51.359148685485856,7.6719368787,11.1832870781,0.727781,0.758658,0.7844,5237.31,5289.91,5357.62,4.533522,4.58774,4.626904,-0.478247,-0.332986,-0.242566,1.461859,1.691842,1.826962,1.902561,1.925571,0.362189,0.504765,0.561856,0.675515,0.676612,0.853027,-8.677898,1.035899,-1.426995,8.739509,GBPRPgrizy/JHKsW1W2,0,-0.0088300705,0.472188,0.583846,0.340779,5.703023,0.985208,0.000776560294189,0.0097235231470964,0.0058278210945466
2751551801542675456,7.724768577120085,11.21679876965056,0.8065524012635115,4.925446157401668,-8.250993847624017,1869.069156680516,1.387778,17.508303,657.5609499218184,7.0738635,18.293703,1721.7117336537044,6.3877683,16.657995,1.6357079,0.7854004,0.85030746,114.8547818180644,-51.33255617166089,7.7247685771,11.2167987697,0.714,0.75,0.75,4467.03,4524.15,4627.01,4.634081,4.63864,4.643337,0.059072,0.281025,0.432882,1.083619,1.138678,1.149614,1.158156,1.266047,0.253827,0.413926,0.516525,0.656888,0.761133,1.0,-8.501906,0.651748,-0.897602,8.526851,GBPRPgrizy/JHKsW1W2,1,-0.013840675,0.425549,0.531189,0.311878,6.779994,1.416397,0.0008061557598759,0.011680057517465,0.004028218627569
2751551835902413184,7.703989374262764,11.231428770535151,0.4365065101109923,7.087100587307954,-1.500648207002655,2662.440710065295,1.5147957,17.124166,1347.3764079003618,9.171535,17.51482,1882.5035787081044,10.588977,16.561056,0.95376396,0.3906536,0.56311035,114.82542370502034,-51.31544287532847,7.7039893743,11.2314287705,0.749345,0.778476,0.834294,5665.41,5925.46,6030.54,4.389916,4.484469,4.527269,-1.023523,-0.683549,-0.368916,1.88353,2.114939,2.186506,2.432712,3.253926,0.251805,0.343988,0.463824,0.586811,0.670463,1.0,-8.773788,1.240347,-1.706784,8.861029,GBPRPgrizy/JW1W2,0,0.0004870892,0.397642,0.486996,0.282735,5.027771,0.749503,0.0006177296214375,0.0073905606800002,0.0061072051486819
2751552042060889088,7.82584692866772,11.19989462947332,0.7292915823608296,8.159965714904573,-5.452692010578931,2246.8162470626557,1.5716411,17.308449,875.1789399422963,8.2819605,17.9833,1947.9879921926013,10.963599,16.52393,1.4593697,0.67485046,0.7845192,115.00883623650547,-51.36184500432381,7.8258469287,11.1998946295,0.75,0.8,0.848286,4702.62,4904.67,4951.85,4.538707,4.597764,4.628481,-0.117354,0.284162,0.362917,1.21367,1.280184,1.310065,1.516169,1.525126,0.320288,0.365356,0.605113,0.647276,0.661487,1.0,-8.545817,0.74131,-1.023298,8.577909,GBPRPgrizy/JHKsW1W2,0,-0.008842945,0.502535,0.624941,0.365941,6.219451,1.20037,0.0007594691518942,0.0102744980907585,0.0061107032687332
